Time,Force,Displacement,Strain 1
(s),(kN),(mm),(mm/mm)
174,0.3638,0.7909,0.008666
175,0.3671,0.795,0.008718
176,0.3705,0.799,0.008768
177,0.3737,0.8028,0.008815
178,0.3768,0.8069,0.008866
179,0.3802,0.8109,0.008916
180,0.3833,0.8146,0.008963
181,0.3864,0.8189,0.009015
182,0.3898,0.823,0.009068
183,0.3931,0.8266,0.009112
184,0.3961,0.8307,0.009164
185,0.3994,0.8349,0.009215
186,0.4026,0.8387,0.009263
187,0.4056,0.8427,0.009313
188,0.4088,0.8469,0.009365
189,0.4122,0.8508,0.009415
190,0.415,0.8547,0.009463000000000001
191,0.4178,0.8586,0.009512
192,0.4209,0.8627,0.009563
193,0.4243,0.8668,0.009614000000000001
194,0.4274,0.8705,0.00966
195,0.4305,0.8748,0.009714
196,0.434,0.879,0.009766
197,0.4372,0.8827,0.009812999999999999
198,0.4402,0.8869,0.009865
199,0.4434,0.8909,0.009915
200,0.4467,0.8947,0.009963
201,0.4497,0.8987,0.010012
202,0.4529,0.9028,0.010064
203,0.4562,0.9068,0.010114000000000001
204,0.4596,0.9108,0.010164
205,0.4626,0.9147,0.010212
206,0.4657,0.9187,0.010262
207,0.469,0.9229,0.010315000000000001
208,0.4721,0.9266,0.010361
209,0.4752,0.9307,0.010412
210,0.4786,0.935,0.010466
211,0.4819,0.9387,0.010511999999999999
212,0.4848,0.9427,0.010561000000000001
213,0.488,0.9468,0.010612
214,0.4912,0.9506,0.010661
215,0.4942,0.9545,0.010709
216,0.4973,0.9588,0.010762
217,0.5007,0.9629,0.010813
218,0.504,0.9669,0.010864
219,0.5071,0.9708,0.010912999999999999
220,0.5101,0.9748,0.010963
221,0.5134,0.9789,0.011013
222,0.5165,0.9826,0.01106
223,0.5195,0.9868,0.011112
224,0.5229,0.991,0.011164
225,0.5262,0.9947,0.011211
226,0.5289,0.9987,0.011261
227,0.5323,1.0028,0.011312
228,0.5354,1.0067,0.011361000000000001
229,0.5384,1.0107,0.011411
230,0.5417,1.0148,0.011462000000000002
231,0.5448,1.0188,0.011511
232,0.548,1.0228,0.011562
233,0.5511,1.0266,0.01161
234,0.5541,1.0306,0.011659
235,0.5573,1.0348,0.011711000000000001
236,0.5603,1.0385,0.011758
237,0.5634,1.0426,0.011809
238,0.5668,1.047,0.011862999999999999
239,0.5701,1.0508,0.011912
